id,model_number,type,description,aesthetic,dimensions,finish,supplied_accessories,optional_accessories,safety,power,warranty,status,created_at,updated_at,slug,notes,ean,cover_image,price,cavity,capacity,cleaning,lighting,auto_menus,door_glass,thermostat,installation,function_list,quote_display,cooking_levels,device_display,interior_finish,programmability,total_functions,features
500,SFA9315XR,Oven,90cm Classic Thermoseal oven,classic,896mmW x 480mmH x 568mmD,"Fingerprint proof stainless steel 
Eclipse high visibility black glass","1 x Chrome grill insert
2 x Chrome shelves
1 x 40mm enamelled baking tray
1 x Partial telescopic guides","PRTX - Pizza Stone
PALPZ - Single-handle pizza paddle
38508/510 - Baking Dish","Cool Door technology
 thermal protection system","220-240V, 50/60Hz,3000W,15A Connection",Two years parts and labour,Active,02/10/2018,02/10/2018,sfa9315xr,"","","",0.0,"",90L,Vapour Clean,2 x 40W halogen,"","",50 - 250ºC,Built-in,"base_heat
fan_assisted
convection
fan_forced
eco
fan_grill
super_fan_forced
grill
half_grill
vapour_clean","",4,Digital touch,Ever Clean enamel,Fully programmable,10 functions,"ever clean enamel
thermoseal technology
vapour clean
touch control programmer"
501,SFPA6109,Oven,60cm Linear Thermoseal Pyrolytic oven,linear,597mmW x 592mmH x 571mmD,Fingerprint proof stainless steel Stopsol® reflective glass,"1 x Chrome grill insert
2 x Chrome shelves
1 x 20mm enamelled baking tray
1 x 40mm enamelled baking tray
1 x Partial telescopic guides","PRTX - Pizza Stone
PPR2 - Gourmet Cooking Stone
PALPZ - Single-handle pizza paddle
38508/510 - Baking Dish
GT1P-2 - Partial telescopic guides
GT1T-2 - Total telescopic guides","Cool Door technology
 thermal protection system
 child safety lock
 controls lock","220-240V, 50/60Hz,3000W,15A Connection",Two years parts and labour,Active,02/10/2018,02/10/2018,sfpa6109,"","","",0.0,"",79L,Pyrolytic / ECO Pyrolytic,2 x 40W halogen,"","",30 - 280ºC,Built-in,"convection
fan_forced
supercook
fan_grill
grill
eco
pyrolytic
eco_pyrolytic
defrost_by_time
defrost_by_weight
proving
sabbath_mode
keep_warm","",5,Compact LCD,"",Fully programmable,"13 incl. Sabbath mode
 defrost
 proving and keep warm","ever clean enamel
easy read display
thermoseal technology
pyrolytic cleaning"
502,SFPA6125,Oven,60cm Linear Thermoseal Pyrolytic oven,linear,597mmW x 592mmH x 571mmD,Fingerprint proof stainless steel Stopsol® reflective glass,"1 x Chrome grill insert
2 x Chrome shelves
1 x 20mm enamelled baking tray
1 x 40mm enamelled baking tray
1 x Total telescopic guides","PRTX - Pizza Stone
PPR2 - Gourmet Cooking Stone
PALPZ - Single-handle pizza paddle
38508/510 - Baking Dish
GT1P-2 - Partial telescopic guides
GT1T-2 - Total telescopic guides","Cool Door technology
 thermal protection
system
 child safety lock
 controls lock","220-240V, 50/60Hz,3000W,15A Connection",Two years parts and labour,Active,02/10/2018,02/10/2018,sfpa6125,"","","",0.0,"",79L,Pyrolytic / ECO Pyrolytic,2 x 40W halogen,"","",50 - 280ºC,Built-in,"base_heat
bakers_function
fan_assisted
convection
fan_forced
supercook
eco
fan_grill
grill
pyrolytic
eco_pyrolytic
defrost_by_time
defrost_by_weight
proving
sabbath_mode
keep_warm","",5,Large LCD,"",Fully programmable,"16 + 20 SmartSense auto menus
incl.  Sabbath mode
 defrost
 proving and keep warm","ever clean enamel
soft close door
smartsense - 20 auto menus
thermoseal technology
pyrolytic cleaning"
503,SFPA6130,Oven,60cm Linear Thermoseal Pyrolytic oven,linear,597mmW x 592mmH x 571mmD,Fingerprint proof stainless steel Stopsol® reflective glass,"1 x Chrome grill insert
2 x Chrome shelves
1 x 20mm enamelled baking tray
1 x 40mm enamelled baking tray
1 x Total telescopic guides","PRTX - Pizza Stone
PPR2 - Gourmet Cooking Stone
PALPZ - Single-handle pizza paddle
38508/510 - Baking Dish
GT1P-2 - Partial telescopic guides
GT1T-2 - Total telescopic guides","Cool Door technology
thermal protection system
 child safety lock
 controls lock","220-240V, 50/60Hz,3000W,15A Connection",Two years parts and labour,Active,02/10/2018,02/10/2018,sfpa6130,"","","",0.0,"",79L,Pyrolytic / ECO Pyrolytic,2 x 40W halogen,"","",30 - 280ºC,Built-in,"convection
bakers_function
fan_assisted
convection
fan_forced
supercook
eco
fan_forced_+_grill
fan_grill
grill
pyrolytic
eco_pyrolytic
defrost_by_time
defrost_by_weight
proving
sabbath_mode
keep_warm","",5,TFT,"",Fully programmable,"17 + 50 SmartSense Plus auto menus
incl.  Sabbath mode
 defrost
 proving and keep warm","ever clean enamel
soft close door
smartsense plus - 50 auto menus + 10 personal menus
thermoseal technology
pyrolytic cleaning"
504,SFPA6130B,Oven,60cm Linear Thermoseal Pyrolytic oven,linear,597mmW x 592mmH x 571mmD,Fingerprint proof stainless steel White Stopsol® reflective glass,"1 x Chrome grill insert
2 x Chrome shelves
1 x 20mm enamelled baking tray
1 x 40mm enamelled baking tray
1 x Total telescopic guides","PRTX - Pizza Stone
PPR2 - Gourmet Cooking Stone
PALPZ - Single-handle pizza paddle
38508/510 - Baking Dish
GT1P-2 - Partial telescopic guides
GT1T-2 - Total telescopic guides","Cool Door technology
thermal protection system
 child safety lock
 controls lock","220-240V, 50/60Hz,3000W,15A Connection",Two years parts and labour,Active,02/10/2018,02/10/2018,sfpa6130b,"","","",0.0,"",79L,Pyrolytic / ECO Pyrolytic,2 x 40W halogen,"","",30 - 280ºC,Built-in,"convection
bakers_function
fan_assisted
convection
fan_forced
supercook
eco
fan_forced_+_grill
fan_grill
grill
pyrolytic
eco_pyrolytic
defrost_by_time
defrost_by_weight
proving
sabbath_mode
keep_warm","",5,TFT,"",Fully programmable,"17 + 50 SmartSense Plus auto menus
incl.  Sabbath mode
 defrost
 proving and keep warm","ever clean enamel
soft close door
smartsense plus - 50 auto menus + 10 personal menus
thermoseal technology
pyrolytic cleaning"
505,SFPA6130N,Oven,60cm Linear Thermoseal Pyrolytic oven,linear,597mmW x 592mmH x 571mmD,Fingerprint proof stainless steel Black Stopsol® reflective glass,"1 x Chrome grill insert
2 x Chrome shelves
1 x 20mm enamelled baking tray
1 x 40mm enamelled baking tray
1 x Total telescopic guides","PRTX - Pizza Stone
PPR2 - Gourmet Cooking Stone
PALPZ - Single-handle pizza paddle
38508/510 - Baking Dish
GT1P-2 - Partial telescopic guides
GT1T-2 - Total telescopic guides","Cool Door technology
thermal protection system
 child safety lock
 controls lock","220-240V, 50/60Hz,3000W,15A Connection",Two years parts and labour,Active,02/10/2018,02/10/2018,sfpa6130n,"","","",0.0,"",79L,Pyrolytic / ECO Pyrolytic,2 x 40W halogen,"","",30 - 280ºC,Built-in,"base_heat
bakers_function
fan_assisted
convection
fan_forced
supercook
eco
fan_forced_+_grill
fan_grill
grill
pyrolytic
eco_pyrolytic
defrost_by_time
defrost_by_weight
proving
sabbath_mode
keep_warm","",5,TFT,"",Fully programmable,"17 + 50 SmartSense Plus auto menus
incl.  Sabbath mode
 defrost
 proving and keep warm","ever clean enamel
soft close door
smartsense plus - 50 auto menus + 10 personal menus
thermoseal technology
pyrolytic cleaning"
506,SFPA6140,Oven,60cm Linear Thermoseal Pyrolytic oven,linear,597mmW x 592mmH x 571mmD,Fingerprint proof stainless steel Stopsol® reflective glass,"1 x Chrome grill insert
2 x Chrome shelves
1 x 20mm enamelled baking tray
1 x 40mm enamelled baking tray
2 x Total telescopic guides","PRTX - Pizza Stone
PPR2 - Gourmet Cooking Stone
PALPZ - Single-handle pizza paddle
38508/510 - Baking Dish
GT1P-2 - Partial telescopic guides
GT1T-2 - Total telescopic guides","Cool Door technology
thermal protection system
 child safety lock
 controls lock","220-240V, 50/60Hz,3000W,15A Connection",Two years parts and labour,Active,02/10/2018,02/10/2018,sfpa6140,"","","",0.0,"",79L,Pyrolytic / ECO Pyrolytic,2 x 40W halogen,"","",30 - 280ºC,Built-in,"base_heat
bakers_function
fan_assisted
convection
fan_forced
supercook
eco
fan_forced_+_grill
fan_grill
grill
pyrolytic
eco_pyrolytic
defrost_by_time
defrost_by_weight
proving
sabbath_mode
keep_warm","",5,Colour Touch TFT,"",Fully programmable,"17 + 50 SmartSense Plus auto menus
incl.  Sabbath mode
 defrost
 proving and keep warm","touch control
ever clean enamel
smartsense plus - 50 auto menus + 10 personal menus
thermoseal technology
pyrolytic cleaning"
507,SFPA6140B,Oven,60cm White Linear Thermoseal Pyrolytic oven,linear,597mmW x 592mmH x 571mmD,Fingerprint proof stainless steel White Stopsol® reflective glass,"1 x Chrome grill insert
2 x Chrome shelves
1 x 20mm enamelled baking tray
1 x 40mm enamelled baking tray
2 x Total telescopic guides","PRTX - Pizza Stone
PPR2 - Gourmet Cooking Stone
PALPZ - Single-handle pizza paddle
38508/510 - Baking Dish
GT1P-2 - Partial telescopic guides
GT1T-2 - Total telescopic guides","Cool Door technology
thermal protection system
 child safety lock
 controls lock","220-240V, 50/60Hz,3000W,15A Connection",Two years parts and labour,Active,02/10/2018,02/10/2018,sfpa6140b,"","","",0.0,"",79L,Pyrolytic / ECO Pyrolytic,2 x 40W halogen,"","",30 - 280ºC,Built-in,"base_heat
bakers_function
fan_assisted
convection
fan_forced
supercook
eco
fan_forced_+_grill
fan_grill
grill
pyrolytic
eco_pyrolytic
defrost_by_time
defrost_by_weight
proving
sabbath_mode
keep_warm","",5,Colour Touch TFT,"",Fully programmable,"17 + 50 SmartSense Plus auto menus
incl.  Sabbath mode
 defrost
 proving and keep warm","ever clean enamel
smartsense plus - 50 auto menus + 10 personal menus
thermoseal technology
pyrolytic cleaning
touch screen"
508,SFPA6140N,Oven,60cm Black Linear Thermoseal Pyrolytic oven,linear,597mmW x 592mmH x 571mmD,Fingerprint proof stainless steel Black Stopsol® reflective glass,"1 x Chrome grill insert
2 x Chrome shelves
1 x 20mm enamelled baking tray
1 x 40mm enamelled baking tray
2 x Total telescopic guides","PRTX - Pizza Stone
PPR2 - Gourmet Cooking Stone
PALPZ - Single-handle pizza paddle
38508/510 - Baking Dish
GT1P-2 - Partial telescopic guides
GT1T-2 - Total telescopic guides","Cool Door technology
thermal protection system
 child safety lock
 controls lock","220-240V, 50/60Hz,3000W,15A Connection",Two years parts and labour,Active,02/10/2018,02/10/2018,sfpa6140n,"","","",0.0,"",79L,Pyrolytic / ECO Pyrolytic,2 x 40W halogen,"","",30 - 280ºC,Built-in,"base_heat
bakers_function
fan_assisted
convection
fan_forced
supercook
eco
fan_forced_+_grill
fan_grill
grill
pyrolytic
eco_pyrolytic
defrost_by_time
defrost_by_weight
proving
sabbath_mode
keep_warm","",5,Colour Touch TFT,"",Fully programmable,"17 + 50 SmartSense Plus auto menus
incl.  Sabbath mode
 defrost
 proving and keep warm","ever clean enamel
smartsense plus - 50 auto menus + 10 personal menus
thermoseal technology
pyrolytic cleaning
touch screen"
509,SFPA6300X,Oven,60cm Classic Thermoseal Pyrolytic oven,classic,597mmW x 592mmH x 571mmD,"Fingerprint proof stainless steel 
Eclipse high visibility black glass","2 x Chrome shelves
1 x Chrome grill insert
1 x 40mm enamelled baking tray","PRTX - Pizza Stone
PPR2 - Gourmet Cooking Stone
PALPZ - Single-handle pizza paddle
38508/510 - Baking Dish
GT1P-2 - Partial telescopic guides
GT1T-2 - Total telescopic guides","Cool Door technology
 thermal protection system","220-240V, 50/60Hz,3000W,15A Connection",Two years parts and labour,Active,02/10/2018,02/10/2018,sfpa6300x,"","","",0.0,"",79L,Pyrolytic / ECO Pyrolytic,2 x 40W halogen,"","",50 - 280ºC,Built-in,"convection
eco
fan_assisted
fan_forced
fan_grill
grill
supercook
pyrolytic","",5,Text on panel,Ever Clean enamel,Fully programmable,8 incl. Pyrolytic,"ever clean enamel
thermoseal technology
pyrolytic cleaning
cool door technology"
510,SFPA6309X,Oven,60cm Classic Thermoseal Pyrolytic oven,classic,597mmW x 592mmH x 571mmD,"Fingerprint proof stainless steel 
Eclipse high visibility black glass","1 x Chrome grill insert
2 x Chrome shelves
1 x 20mm enamelled baking tray
1 x 40mm enamelled baking tray
1 x Partial telescopic guides
1 x Removable roof liner","PRTX - Pizza Stone
PPR2 - Gourmet Cooking Stone
PALPZ - Single-handle pizza paddle
38508/510 - Baking Dish
GT1P-2 - Partial telescopic guides
GT1T-2 - Total telescopic guides","Cool Door technology
 thermal protection system
 child safety lock
 controls lock","220-240V, 50/60Hz,3000W,15A Connection",Two years parts and labour,Active,02/10/2018,02/10/2018,sfpa6309x,"","","",0.0,"",79L,Pyrolytic / ECO Pyrolytic,2 x 40W halogen,"","",30 - 280ºC,Built-in,"convection
fan_forced
supercook
fan_grill
grill
eco
pyrolytic
eco_pyrolytic
defrost_by_time
defrost_by_weight
proving
sabbath_mode
keep_warm","",5,Compact LCD,Ever Clean enamel,Fully programmable,"13 incl. Sabbath mode
 defrost
 proving and keep warm","ever clean enamel
easy read display
thermoseal technology
pyrolytic cleaning"
511,SFPA6390X,Oven,60cm Classic Thermoseal Pyrolytic oven,classic,597mmW x 592mmH x 571mmD,"Fingerprint proof stainless steel 
Eclipse high visibility black glass","1 x Chrome grill insert
2 x Chrome shelves
1 x 20mm enamelled baking tray
1 x 40mm enamelled baking tray
1 x Total telescopic guides
1 x Removable roof liner","PRTX - Pizza Stone
PPR2 - Gourmet Cooking Stone
PALPZ - Single-handle pizza paddle
38508/510 - Baking Dish
GT1P-2 - Partial telescopic guides
GT1T-2 - Total telescopic guides","Cool Door technology
 thermal protection system
 child safety lock
 controls lock","220-240V, 50/60Hz,3000W,15A Connection",Two years parts and labour,Active,02/10/2018,02/10/2018,sfpa6390x,"","","",0.0,"",79L,Pyrolytic / ECO Pyrolytic,2 x 40W halogen,20 SmartSense menus,"",50 - 280ºC,Built-in,"base_heat
bakers_function
fan_assisted
convection
fan_forced
supercook
eco
fan_grill
grill
pyrolytic
eco_pyrolytic
defrost_by_time
defrost_by_weight
proving
sabbath_mode","",5,Large LCD,Ever Clean enamel,Fully programmable,"16 + 20 SmartSense auto menus
incl.  Sabbath mode
 defrost
 proving and keep warm","ever clean enamel
soft close door
smartsense - 20 auto menus
thermoseal technology
pyrolytic cleaning"
512,SFPA6390X2,Oven,60cm Classic Thermoseal Pyrolytic oven,classic,597mmW x 592mmH x 571mmD,"Fingerprint proof stainless steel 
Eclipse high visibility black glass","1 x Chrome grill insert
2 x Chrome shelves
1 x 20mm enamelled baking tray
1 x 40mm enamelled baking tray
1 x Total telescopic guides","PRTX - Pizza Stone
PPR2 - Gourmet Cooking Stone
PALPZ - Single-handle pizza paddle
38508/510 - Baking Dish
GT1P-2 - Partial telescopic guides
GT1T-2 - Total telescopic guides","Cool Door technology
 thermal protection system
 child safety lock
 controls lock","220-240V, 50/60Hz,3000W,15A Connection",Two years parts and labour,Active,02/10/2018,02/10/2018,sfpa6390x2,"","","",0.0,"",79L,Pyrolytic / ECO Pyrolytic,2 x 40W halogen,20 SmartSense menus,"",50 - 280ºC,Built-in,"base_heat
bakers_function
fan_assisted
convection
fan_forced
supercook
eco
fan_grill
grill
pyrolytic
eco_pyrolytic
defrost_by_time
defrost_by_weight
proving
sabbath_mode","",5,Large LCD,Ever Clean enamel,Fully programmable,"16 + 20 SmartSense auto menus
incl.  Sabbath mode
 defrost
 proving and keep warm","ever clean enamel
soft close door
smartsense - 20 auto menus
thermoseal technology
pyrolytic cleaning"
513,SFPA6395X,Oven,60cm Classic Thermoseal Pyrolytic oven,classic,597mmW x 592mmH x 571mmD,"Fingerprint proof stainless steel 
Eclipse high visibility black glass","1 x Chrome grill insert
2 x Chrome shelves
1 x 20mm enamelled baking tray
1 x 40mm enamelled baking tray
1 x Total telescopic guides
1 x Removable roof liner","PRTX - Pizza Stone
PPR2 - Gourmet Cooking Stone
PALPZ - Single-handle pizza paddle
38508/510 - Baking Dish
GT1P-2 - Partial telescopic guides
GT1T-2 - Total telescopic guides","Cool Door technology
thermal protection system
 child safety lock
 controls lock","220-240V, 50/60Hz,3000W,15A Connection",Two years parts and labour,Active,02/10/2018,02/10/2018,sfpa6395x,"","","",0.0,"",79L,Pyrolytic / ECO Pyrolytic,2 x 40W halogen,50 SmartSense Plus menus,"",30 - 280ºC,Built-in,"base_heat
bakers_function
fan_assisted
convection
fan_forced
supercook
fan_forced_and_grill
eco
fan_grill
grill
pyrolytic
eco_pyrolytic
defrost_by_time
defrost_by_weight
proving
keep_warm","",5,TFT,Ever Clean enamel,Fully programmable,"17 + 50 SmartSense Plus auto menus
incl.  Sabbath mode
 defrost
 proving and keep warm","ever clean enamel
soft close door
smartsense plus - 50 auto menus + 10 personal menus
thermoseal technology
pyrolytic cleaning"
522,SFPA6925B2,Oven,60cm Victoria Thermoseal Pyrolytic oven,victoria,597mmW x 592mmH x 548mmD,White enamel,"1 x Chrome grill insert
2 x Chrome shelves
1 x 20mm enamelled baking tray
1 x 40mm enamelled baking tray
1 x Total telescopic guides","PRTX - Pizza Stone
PPR2 - Gourmet Cooking Stone
PALPZ - Single-handle pizza paddle
38508/510 - Baking Dish
GT1P-2 - Partial telescopic guides
GT1T-2 - Total telescopic guides","Cool Door technology
 Soft Close door
 thermal protection system
 child safety lock
 controls lock","220-240V, 50/60Hz,3000W,15A current",Two years parts and labour,Active,02/10/2018,02/10/2018,sfpa6925b2,"","","",0.0,"",79L,"Smeg Ever Clean enamel, Pyrolytic / ECO Pyrolytic",2 x 40W halogen,"",Quadruple glazed,30 - 280ºC,"Flush, underbench or wallmount","base_heat
bakers_function
fan_assisted
convection
fan_forced
supercook
eco
fan_grill
grill
pyrolytic
eco_pyrolytic
defrost_by_time
defrost_by_weight
proving
sabbath_mode
keep_warm","",5,Large LCD,"",Fully programmable,16,"ever clean enamel
soft close door
smartsense - 20 auto menus
thermoseal technology
pyrolytic cleaning"
514,SFPA6395X2,Oven,60cm Classic Thermoseal Pyrolytic oven,classic,597mmW x 592mmH x 571mmD,"Fingerprint proof stainless steel 
Eclipse high visibility black glass","1 x Chrome grill insert
2 x Chrome shelves
1 x 20mm enamelled baking tray
1 x 40mm enamelled baking tray
1 x Total telescopic guides","PRTX - Pizza Stone
PPR2 - Gourmet Cooking Stone
PALPZ - Single-handle pizza paddle
38508/510 - Baking Dish
GT1P-2 - Partial telescopic guides
GT1T-2 - Total telescopic guides","Cool Door technology
thermal protection system
 child safety lock
 controls lock","220-240V, 50/60Hz,3000W,15A Connection",Two years parts and labour,Active,02/10/2018,02/10/2018,sfpa6395x2,"","","",0.0,"",79L,Pyrolytic / ECO Pyrolytic,2 x 40W halogen,50 SmartSense Plus menus,"",30 - 280ºC,Built-in,"base_heat
bakers_function
fan_assisted
convection
fan_forced
supercook
fan_forced_and_grill
eco
fan_grill
grill
pyrolytic
eco_pyrolytic
defrost_by_time
defrost_by_weight
proving
keep_warm","",5,TFT,Ever Clean enamel,Fully programmable,"17 + 50 SmartSense Plus auto menus
incl.  Sabbath mode
 defrost
 proving and keep warm","ever clean enamel
soft close door
smartsense plus - 50 auto menus + 10 personal menus
thermoseal technology
pyrolytic cleaning"
515,SFPA6603NR,Oven,60cm Dolce Stil Novo Thermoseal Pyrolytic Oven,dolce stil novo,597mmW x 548mmD x 592mmH,Black eclipse glass with copper trim,"1 x Chrome grill insert
2 x Chrome shelves
1 x 40mm enamelled baking tray
1 x Partial telescopic guides","PRTX - Pizza Stone
PPR2 - Gourmet Cooking Stone
PALPZ - Single-handle pizza paddle
38508/510 - Baking Dish
GT1P-2 - Partial telescopic guides
GT1T-2 - Total telescopic guides","Cool Door technology
 thermal protection system
 child safety lock
 controls lock","220-240V, 50/60Hz,3000W,13A Connection",Five years parts and labour,Active,02/10/2018,02/10/2018,sfpa6603nr,"","","",0.0,Ever Clean Enamel,79L,Pyrolytic / ECO Pyrolytic,2 x 40W halogen,50 SmartSense Plus menus,"",30-280°C,Built-in,"convection
fan_assisted
fan_forced
supercook
eco
grill
fan_grill
fan_forced_and_grill
bakers_function
defrost_by_time
defrost_by_weight
keep_warm
proofing
sabbath_mode
pyrolytic
eco_pyro","",5,Knobs + Black&White TFT,"",Fully programmable,"16 + 50 SmartSense Plus auto menus incl. Sabbath mode
 defrost
 proving and keep warm","ever clean enamel
soft close door
pyrolytic cleaning
thermoseal
smartsense plus"
516,SFPA6603NX,Oven,60cm Dolce Stil Novo Thermoseal Pyrolytic Oven,dolce stil novo,597mmW x 548mmD x 592mmH,Black eclipse glass with stainless steel trim,"1 x Chrome grill insert
2 x Chrome shelves
1 x 40mm enamelled baking tray
1 x Partial telescopic guides","PRTX - Pizza Stone
PPR2 - Gourmet Cooking Stone
PALPZ - Single-handle pizza paddle
38508/510 - Baking Dish
GT1P-2 - Partial telescopic guides
GT1T-2 - Total telescopic guides","Cool Door technology
 thermal protection system
 child safety lock
 controls lock","220-240V, 50/60Hz,3000W,13A Connection",Five years parts and labour,Active,02/10/2018,02/10/2018,sfpa6603nx,"","","",0.0,Ever Clean Enamel,79L,Pyrolytic / ECO Pyrolytic,2 x 40W halogen,50 SmartSense Plus menus,"",30-280°C,Built-in,"convection
fan_assisted
fan_forced
supercook
eco
grill
fan_grill
fan_forced_and_grill
bakers_function
defrost_by_time
defrost_by_weight
keep_warm
proofing
sabbath_mode
pyrolytic
eco_pyro","",5,Knobs + Black&White TFT,"",Fully programmable,"16 + 50 SmartSense Plus auto menus incl. Sabbath mode
 defrost
 proving and keep warm","ever clean enamel
soft close door
pyrolytic cleaning
thermoseal
smartsense plus"
517,SFPA6604NR,Oven,60cm Dolce Stil Novo Thermoseal Pyrolytic Oven,dolce stil novo,597mmW x 548mmD x 592mmH,Black eclipse glass with copper trim,"1 x Chrome grill insert
2 x Chrome shelves
1 x 40mm enamelled baking tray
1 x Partial telescopic guides","PRTX - Pizza Stone
PPR2 - Gourmet Cooking Stone
PALPZ - Single-handle pizza paddle
38508/510 - Baking Dish
GT1P-2 - Partial telescopic guides
GT1T-2 - Total telescopic guides","Cool Door technology
 thermal protection system
 child safety lock
 controls lock","220-240V, 50/60Hz,3000W,13A Connection",Five years parts and labour,Active,02/10/2018,02/10/2018,sfpa6604nr,"","","",0.0,Ever Clean Enamel,79L,Pyrolytic / ECO Pyrolytic,2 x 40W halogen,50 SmartSense Plus menus,"",30-280°C,Built-in,"convection
fan_assisted
fan_forced
supercook
eco
grill
fan_grill
fan_forced_and_grill
base_heat
bakers_function
defrost_by_time
defrost_by_weight
keep_warm
proofing
sabbath_mode
pyrolytic
eco_pyro","",5,Colour Touch TFT,"",Fully programmable,"17 + 50 SmartSense Plus auto menus incl. Sabbath mode
 defrost
 proving and keep warm","ever clean enamel
soft close door
pyrolytic cleaning
thermoseal
smartsense plus"
523,SFPA6925N,Oven,60cm Victoria Thermoseal Pyrolytic oven,victoria,597mmW x 592mmH x 548mmD,Black enamel,"1 x Chrome grill insert
2 x Chrome shelves
1 x 20mm enamelled baking tray
1 x 40mm enamelled baking tray
1 x Total telescopic guides
1 x Removable roof liner","PRTX - Pizza Stone
PPR2 - Gourmet Cooking Stone
PALPZ - Single-handle pizza paddle
38508/510 - Baking Dish
GT1P-2 - Partial telescopic guides
GT1T-2 - Total telescopic guides","Cool Door technology
 Soft Close door
 thermal protection system
 child safety lock
 controls lock","220-240V, 50/60Hz,3000W,15A current",Two years parts and labour,Active,02/10/2018,02/10/2018,sfpa6925n,"","","",0.0,"",79L,"Smeg Ever Clean enamel, Pyrolytic / ECO Pyrolytic",2 x 40W halogen,"",Quadruple glazed,30 - 280ºC,"Flush, underbench or wallmount","base_heat
bakers_function
fan_assisted
convection
fan_forced
supercook
eco
fan_grill
grill
pyrolytic
eco_pyrolytic
defrost_by_time
defrost_by_weight
proving
sabbath_mode
keep_warm","",5,Large LCD,"",Fully programmable,16,"ever clean enamel
soft close door
smartsense - 20 auto menus
thermoseal technology
pyrolytic cleaning"
518,SFPA6604NX,Oven,60cm Dolce Stil Novo Thermoseal Pyrolytic Oven,dolce stil novo,597mmW x 548mmD x 592mmH,Black eclipse glass with stainless steel trim,"1 x Chrome grill insert
2 x Chrome shelves
1 x 40mm enamelled baking tray
1 x Partial telescopic guides","PRTX - Pizza Stone
PPR2 - Gourmet Cooking Stone
PALPZ - Single-handle pizza paddle
38508/510 - Baking Dish
GT1P-2 - Partial telescopic guides
GT1T-2 - Total telescopic guides","Cool Door technology
 thermal protection system
 child safety lock
 controls lock","220-240V, 50/60Hz,3000W,13A Connection",Five years parts and labour,Active,02/10/2018,02/10/2018,sfpa6604nx,"","","",0.0,Ever Clean Enamel,79L,Pyrolytic / ECO Pyrolytic,2 x 40W halogen,50 SmartSense Plus menus,"",30-280°C,Built-in,"convection
fan_assisted
fan_forced
supercook
eco
grill
fan_grill
fan_forced_and_grill
base_heat
bakers_function
defrost_by_time
defrost_by_weight
keep_warm
proofing
sabbath_mode
pyrolytic
eco_pyro","",5,Colour Touch TFT,"",Fully programmable,"17 + 50 SmartSense Plus auto menus incl. Sabbath mode
 defrost
 proving and keep warm","ever clean enamel
soft close door
pyrolytic cleaning
thermoseal
smartsense plus"
519,SFPA6604STNR,Oven,60cm Dolce Stil Novo Thermoseal Plus Pyrolytic Oven with Steam Assist,dolce stil novo,597mmW x 548mmD x 592mmH,Black eclipse glass with copper trim,"1 x Chrome grill insert
2 x Chrome shelves
1 x 20mm enamelled baking tray
1 x 40mm enamelled baking tray
1 x Partial telescopic guides","PRTX - Pizza Stone
PPR2 - Gourmet Cooking Stone
PALPZ - Single-handle pizza paddle
38508/510 - Baking Dish
GT1P-2 - Partial telescopic guides
GT1T-2 - Total telescopic guides","Cool Door technology
 thermal protection system
 child safety lock
 controls lock","220-240V, 50/60Hz,3000W,13A Connection",Five years parts and labour,Active,02/10/2018,02/10/2018,sfpa6604stnr,"","","",0.0,Ever Clean Enamel,79L,Pyrolytic / ECO Pyrolytic,2 x 40W halogen,50 SmartSense Plus menus,"",30-280°C,Built-in,"convection
fan_assisted
fan_forced
supercook
eco
grill
fan_grill
fan_forced_and_grill
base_heat
bakers_function
fan_assisted_+_steam
fan_forced_+_steam
super_fan_forced_+_steam
supercook_+_steam
fan_grill_+_steam
bakers_function
defrost_by_time
defrost_by_weight
keep_warm
proofing
sabbath_mode
pyrolytic
eco_pyro","",5,Colour Touch TFT,"",Fully programmable,"22 + 50 SmartSense Plus auto menus incl. Sabbath mode
 defrost
 proving and keep warm","ever clean enamel
soft close door
pyrolytic cleaning
smartsense plus
thermoseal plus"
520,SFPA6604STNX,Oven,60cm Dolce Stil Novo Thermoseal Plus Pyrolytic Oven with Steam Assist,dolce stil novo,597mmW x 548mmD x 592mmH,Black eclipse glass with stainless steel trim,"1 x Chrome grill insert
2 x Chrome shelves
1 x 20mm enamelled baking tray
1 x 40mm enamelled baking tray
1 x Partial telescopic guides","PRTX - Pizza Stone
PPR2 - Gourmet Cooking Stone
PALPZ - Single-handle pizza paddle
38508/510 - Baking Dish
GT1P-2 - Partial telescopic guides
GT1T-2 - Total telescopic guides","Cool Door technology
 thermal protection system
 child safety lock
 controls lock","220-240V, 50/60Hz,3000W,13A Connection",Five years parts and labour,Active,02/10/2018,02/10/2018,sfpa6604stnx,"","","",0.0,Ever Clean Enamel,79L,Pyrolytic / ECO Pyrolytic,2 x 40W halogen,50 SmartSense Plus menus,"",30-280°C,Built-in,"convection
fan_assisted
fan_forced
supercook
eco
grill
fan_grill
fan_forced_and_grill
base_heat
bakers_function
fan_assisted_+_steam
fan_forced_+_steam
super_fan_forced_+_steam
supercook_+_steam
fan_grill_+_steam
bakers_function
defrost_by_time
defrost_by_weight
keep_warm
proofing
sabbath_mode
pyrolytic
eco_pyro","",5,Colour Touch TFT,"",Fully programmable,"22 + 50 SmartSense Plus auto menus incl. Sabbath mode
 defrost
 proving and keep warm","ever clean enamel
soft close door
pyrolytic cleaning
smartsense plus
thermoseal plus"
